title	url	path_to_file
Vegetable dhansak recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegetable_dhansak_03473	./DATA//Vegetable dhansak recipe - BBC Food.html
Mary Berry's fish pie recipe - BBC Food	https://www.bbc.co.uk/food/recipes/mary_berrys_fish_pie_79943	./DATA//Mary Berry's fish pie recipe - BBC Food.html
Vegan mushroom stroganoff  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_mushroom_80921	./DATA//Vegan mushroom stroganoff  recipe - BBC Food.html
Speedy sweet and sour pork recipe - BBC Food	https://www.bbc.co.uk/food/recipes/speedy_sweet_and_sour_52552	./DATA//Speedy sweet and sour pork recipe - BBC Food.html
Cherry scones recipe - BBC Food	https://www.bbc.co.uk/food/recipes/scones_35420	./DATA//Cherry scones recipe - BBC Food.html
Hedgerow jelly  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/hedgerow_jelly_85867	./DATA//Hedgerow jelly  recipe - BBC Food.html
Pork chops with sloe sauce and Savoy cabbage  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/pork_chops_with_sloe_28266	./DATA//Pork chops with sloe sauce and Savoy cabbage  recipe - BBC Food.html
Sloe gin and blackberry jelly recipe - BBC Food	https://www.bbc.co.uk/food/recipes/sloeginandblackberry_89779	./DATA//Sloe gin and blackberry jelly recipe - BBC Food.html
Loin of venison in a sloe gin and blackberry glaze recipe - BBC Food	https://www.bbc.co.uk/food/recipes/loin_of_venison_in_a_52978	./DATA//Loin of venison in a sloe gin and blackberry glaze recipe - BBC Food.html
Recipes | A - BBC Food	https://www.bbc.co.uk/food/recipes/a-z/a/1	./DATA//Recipes | A - BBC Food.html
Rice bowl with ginger, radish and avocado recipe - BBC Food	https://www.bbc.co.uk/food/recipes/rice_bowl_with_ginger_58307	./DATA//Rice bowl with ginger, radish and avocado recipe - BBC Food.html
Harissa polenta with vegetables recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_polenta_with_98148	./DATA//Harissa polenta with vegetables recipe - BBC Food.html
Harissa baked fish with bulgur wheat recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_baked_fish_with_63091	./DATA//Harissa baked fish with bulgur wheat recipe - BBC Food.html
Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food	https://www.bbc.co.uk/food/recipes/curry_pumpkin_14259	./DATA//Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food.html
Vegan roasted beetroot and shallot tart recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_roasted_beetroot__35939	./DATA//Vegan roasted beetroot and shallot tart recipe - BBC Food.html
Slow cooker beef casserole recipe - BBC Food	https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_34234	./DATA//Slow cooker beef casserole recipe - BBC Food.html
Korean kimchi pancake recipe - BBC Food	https://www.bbc.co.uk/food/recipes/korean_kimchi_pancake_23271	./DATA//Korean kimchi pancake recipe - BBC Food.html
Japchae recipe - BBC Food	https://www.bbc.co.uk/food/recipes/japchae_09863	./DATA//Japchae recipe - BBC Food.html
Late night naughty noodles recipe - BBC Food	https://www.bbc.co.uk/food/recipes/late_night_naughty_73187	./DATA//Late night naughty noodles recipe - BBC Food.html
John Dory alla carlina recipe - BBC Food	https://www.bbc.co.uk/food/recipes/john_dory_alla_carlina_43959	./DATA//John Dory alla carlina recipe - BBC Food.html
Bauernfruhstuck (farmer’s breakfast) recipe - BBC Food	https://www.bbc.co.uk/food/recipes/bauernfruhstuck_farmers_85796	./DATA//Bauernfruhstuck (farmer’s breakfast) recipe - BBC Food.html
Pan-fried John Dory with shrimp sauce vierge and sautéed potatoes recipe - BBC Food	https://www.bbc.co.uk/food/recipes/panfriedjohndorywith_90063	./DATA//Pan-fried John Dory with shrimp sauce vierge and sautéed potatoes recipe - BBC Food.html
Steamed treacle sponge with custard recipe - BBC Food	https://www.bbc.co.uk/food/recipes/steamed_treacle_sponge_29604	./DATA//Steamed treacle sponge with custard recipe - BBC Food.html
Punjabi chicken curry recipe - BBC Food	https://www.bbc.co.uk/food/recipes/punjabi_chicken_curry_44800	./DATA//Punjabi chicken curry recipe - BBC Food.html
Shrimp ravioli with shrimp and tomato sauce recipe - BBC Food	https://www.bbc.co.uk/food/recipes/shrimpravioliwithshr_85426	./DATA//Shrimp ravioli with shrimp and tomato sauce recipe - BBC Food.html
French dip sandwich recipe - BBC Food	https://www.bbc.co.uk/food/recipes/french_dip_sandwich_45633	./DATA//French dip sandwich recipe - BBC Food.html
Five-hour roast pork belly recipe - BBC Food	https://www.bbc.co.uk/food/recipes/five-hour_roast_pork_03985	./DATA//Five-hour roast pork belly recipe - BBC Food.html
Biscoff cheesecake recipe - BBC Food	https://www.bbc.co.uk/food/recipes/biscoff_cheesecake_37320	./DATA//Biscoff cheesecake recipe - BBC Food.html
Miso-glazed halibut with prawn dumplings in shiso broth recipe - BBC Food	https://www.bbc.co.uk/food/recipes/misoglazedhalibutwit_92903	./DATA//Miso-glazed halibut with prawn dumplings in shiso broth recipe - BBC Food.html
Kerala prawns recipe - BBC Food	https://www.bbc.co.uk/food/recipes/keralaprawns_92902	./DATA//Kerala prawns recipe - BBC Food.html
Plaice with shellfish and wild garlic recipe - BBC Food	https://www.bbc.co.uk/food/recipes/plaice_with_shellfish_67433	./DATA//Plaice with shellfish and wild garlic recipe - BBC Food.html
Rabbit casserole recipe - BBC Food	https://www.bbc.co.uk/food/recipes/rabbit_casserole_08297	./DATA//Rabbit casserole recipe - BBC Food.html
Rabbit casserole shopping list - BBC Food	https://www.bbc.co.uk/food/recipes/rabbit_casserole_08297/shopping-list	./DATA//Rabbit casserole shopping list - BBC Food.html
Strawberry ice lolly recipe - BBC Food	https://www.bbc.co.uk/food/recipes/strawberryicelollies_89303	./DATA//Strawberry ice lolly recipe - BBC Food.html
Duck fat waffle recipe - BBC Food	https://www.bbc.co.uk/food/recipes/duck_fat_waffle_49136	./DATA//Duck fat waffle recipe - BBC Food.html
Plum crumble recipe - BBC Food	https://www.bbc.co.uk/food/recipes/plumcrumble_89925	./DATA//Plum crumble recipe - BBC Food.html
Gin key lime pie recipe - BBC Food	https://www.bbc.co.uk/food/recipes/gin_key_lime_pie_17441	./DATA//Gin key lime pie recipe - BBC Food.html
Low-fat beef and potato pies recipe - BBC Food	https://www.bbc.co.uk/food/recipes/low-fat_minced_beef_and_34423	./DATA//Low-fat beef and potato pies recipe - BBC Food.html
Greek-style meatball bake  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/greek-style_meatball_85252	./DATA//Greek-style meatball bake  recipe - BBC Food.html
Turkey and ham pie recipe - BBC Food	https://www.bbc.co.uk/food/recipes/ststephensdaypie_78849	./DATA//Turkey and ham pie recipe - BBC Food.html
Honey-glazed gammon recipe - BBC Food	https://www.bbc.co.uk/food/recipes/traditional_honey-glazed_52289	./DATA//Honey-glazed gammon recipe - BBC Food.html
Mooli salad with butterflied prawns recipe - BBC Food	https://www.bbc.co.uk/food/recipes/moolisaladwithbutter_87245	./DATA//Mooli salad with butterflied prawns recipe - BBC Food.html
Mooli salad with butterflied prawns shopping list - BBC Food	https://www.bbc.co.uk/food/recipes/moolisaladwithbutter_87245/shopping-list	./DATA//Mooli salad with butterflied prawns shopping list - BBC Food.html
Lazybones buns (Luilakbollen) recipe - BBC Food	https://www.bbc.co.uk/food/recipes/lazybones_buns_47431	./DATA//Lazybones buns (Luilakbollen) recipe - BBC Food.html
Oven chips recipe - BBC Food	https://www.bbc.co.uk/food/recipes/oven_chips_67210	./DATA//Oven chips recipe - BBC Food.html
Homemade garlic bread recipe - BBC Food	https://www.bbc.co.uk/food/recipes/homemade_garlic_bread_66737	./DATA//Homemade garlic bread recipe - BBC Food.html
Summer vegetable strudel recipe - BBC Food	https://www.bbc.co.uk/food/recipes/summer_vegetable_strudel_84651	./DATA//Summer vegetable strudel recipe - BBC Food.html
Christmas Martini recipe - BBC Food	https://www.bbc.co.uk/food/recipes/christmas_martini_77981	./DATA//Christmas Martini recipe - BBC Food.html
Coconut sticky rice recipe - BBC Food	https://www.bbc.co.uk/food/recipes/coconut_sticky_rice_28026	./DATA//Coconut sticky rice recipe - BBC Food.html
Healthy sweet and sour chicken recipe - BBC Food	https://www.bbc.co.uk/food/recipes/sweet_and_sour_chicken_52908	./DATA//Healthy sweet and sour chicken recipe - BBC Food.html
Rhubarb and ginger pudding  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/rhubarb_and_ginger_78424	./DATA//Rhubarb and ginger pudding  recipe - BBC Food.html
Persian-style oxtail stew recipe - BBC Food	https://www.bbc.co.uk/food/recipes/persian-style_oxtail_79571	./DATA//Persian-style oxtail stew recipe - BBC Food.html
Cornish salt pollack, squid and mussel stew recipe - BBC Food	https://www.bbc.co.uk/food/recipes/cornishsaltpollacksq_93326	./DATA//Cornish salt pollack, squid and mussel stew recipe - BBC Food.html
Party vol-au-vents recipe - BBC Food	https://www.bbc.co.uk/food/recipes/party_vol-au-vents_60239	./DATA//Party vol-au-vents recipe - BBC Food.html
Coronation prawn vol-au-vents recipe - BBC Food	https://www.bbc.co.uk/food/recipes/coronationprawnvolau_93068	./DATA//Coronation prawn vol-au-vents recipe - BBC Food.html
Gypsy eggs  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/cornish_gypsy_eggs_45609	./DATA//Gypsy eggs  recipe - BBC Food.html
Lamb with smoked onions and roasted potatoes recipe - BBC Food	https://www.bbc.co.uk/food/recipes/lamb_smoked_onions_69177	./DATA//Lamb with smoked onions and roasted potatoes recipe - BBC Food.html
Stuffed and roasted guinea fowl recipe - BBC Food	https://www.bbc.co.uk/food/recipes/stuffed_guinea_fowl_34131	./DATA//Stuffed and roasted guinea fowl recipe - BBC Food.html
Puff pastry bites recipe - BBC Food	https://www.bbc.co.uk/food/recipes/puff_pastry_pizza_bites_98325	./DATA//Puff pastry bites recipe - BBC Food.html
Baked plums with mascarpone recipe - BBC Food	https://www.bbc.co.uk/food/recipes/grilledfruitwithmasc_72274	./DATA//Baked plums with mascarpone recipe - BBC Food.html
Cinnamon autumn rice pudding recipe - BBC Food	https://www.bbc.co.uk/food/recipes/cinnamon_autumn_rice_12458	./DATA//Cinnamon autumn rice pudding recipe - BBC Food.html
Cherry scones recipe - BBC Food	https://www.bbc.co.uk/food/recipes/scones_35420	./DATA//Cherry scones recipe - BBC Food.html
Baked Alaska recipe - BBC Food	https://www.bbc.co.uk/food/recipes/baked_alaska_96104	./DATA//Baked Alaska recipe - BBC Food.html
Baked Alaska  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/baked_alaska_with_hot_20041	./DATA//Baked Alaska  recipe - BBC Food.html
Dill pickles recipe - BBC Food	https://www.bbc.co.uk/food/recipes/dill_pickles_81100	./DATA//Dill pickles recipe - BBC Food.html
Beef stroganoff recipe - BBC Food	https://www.bbc.co.uk/food/recipes/beef_stroganoff_16029	./DATA//Beef stroganoff recipe - BBC Food.html
Traditional bara brith recipe - BBC Food	https://www.bbc.co.uk/food/recipes/bara_brith_24607	./DATA//Traditional bara brith recipe - BBC Food.html
